route_1,route_2,common_stop_count,common_stop_rank
353,470,18,94
353,491,18,94
353,828,18,94
358,367,18,94
36,466,18,94
361,487,18,94
361,920,18,94
367,468,18,94
374,72,18,94
39,838,18,94
423,443,18,94
428,445,18,94
429,445,18,94
430,847,18,94
435,847,18,94
441,472,18,94
443,445,18,94
445,446,18,94
445,820,18,94
445,827,18,94
465,490,18,94
465,940,18,94
471,490,18,94
471,940,18,94
472,866,18,94
5,510,18,94
5,650,18,94
503,543,18,94
508,697,18,94
508,806,18,94
508,858,18,94
510,6,18,94
510,7,18,94
513,543,18,94
515,805,18,94
517,524,18,94
522,680,18,94
532,741,18,94
543,599,18,94
543,920,18,94
556,879,18,94
58,64,18,94
599,662,18,94
6,650,18,94
608,695,18,94
645,652,18,94
646,651,18,94
646,652,18,94
648,698,18,94
650,7,18,94
652,656,18,94
652,835,18,94
652,842,18,94
660,758,18,94
668,772,18,94
676,940,18,94
697,707,18,94
697,788,18,94
697,808,18,94
697,865,18,94
701,715,18,94
705,828,18,94
707,806,18,94
707,858,18,94
722,782,18,94
729,808,18,94
733,734,18,94
733,737,18,94
733,882,18,94
733,961,18,94
733,978,18,94
743,774,18,94
759,868,18,94
766,772,18,94
768,772,18,94
772,988,18,94
775,808,18,94
776,808,18,94
780,783,18,94
781,783,18,94
783,798,18,94
788,806,18,94
792,808,18,94
794,808,18,94
804,814,18,94
805,940,18,94
806,808,18,94
806,865,18,94
808,829,18,94
808,858,18,94
816,817,18,94
835,935,18,94
837,935,18,94
909,962,18,94
935,936,18,94
940,950,18,94
102,498,17,95
102,699,17,95
104,206,17,95
104,72,17,95
117,58,17,95
126,361,17,95
135,361,17,95
137,361,17,95
152,92,17,95
16,20,17,95
197,361,17,95
202,508,17,95
202,808,17,95
204,508,17,95
204,808,17,95
206,476,17,95
206,508,17,95
206,808,17,95
214,59,17,95
222,361,17,95
224,588,17,95
23,588,17,95
234,35,17,95
247,426,17,95
249,59,17,95
258,361,17,95
302,58,17,95
304,878,17,95
326,361,17,95
328,559,17,95
330,559,17,95
346,816,17,95
361,741,17,95
361,742,17,95
361,847,17,95
361,853,17,95
367,58,17,95
44,45,17,95
465,472,17,95
470,805,17,95
471,472,17,95
484,485,17,95
490,805,17,95
498,501,17,95
498,502,17,95
498,503,17,95
498,504,17,95
498,513,17,95
498,599,17,95
501,699,17,95
503,662,17,95
504,699,17,95
508,92,17,95
510,828,17,95
513,662,17,95
515,559,17,95
523,823,17,95
524,873,17,95
537,742,17,95
559,963,17,95
57,58,17,95
58,60,17,95
59,662,17,95
59,699,17,95
595,920,17,95
619,812,17,95
645,653,17,95
646,653,17,95
648,747,17,95
648,753,17,95
648,759,17,95
651,842,17,95
653,835,17,95
653,842,17,95
658,747,17,95
658,753,17,95
658,759,17,95
658,868,17,95
660,748,17,95
713,714,17,95
722,770,17,95
722,780,17,95
722,781,17,95
722,798,17,95
729,829,17,95
747,748,17,95
747,749,17,95
748,753,17,95
748,759,17,95
748,868,17,95
749,753,17,95
749,759,17,95
749,868,17,95
750,812,17,95
753,868,17,95
757,812,17,95
762,82,17,95
789,808,17,95
792,829,17,95
794,829,17,95
8,962,17,95
811,950,17,95
834,849,17,95
834,935,17,95
887,92,17,95
910,92,17,95
910,940,17,95
111,67,16,96
117,53,16,96
117,560,16,96
119,505,16,96
121,253,16,96
124,587,16,96
135,537,16,96
153,57,16,96
19,879,16,96
193,823,16,96
20,84,16,96
202,510,16,96
206,940,16,96
23,522,16,96
267,64,16,96
285,465,16,96
285,471,16,96
285,485,16,96
290,602,16,96
290,608,16,96
290,660,16,96
302,53,16,96
304,353,16,96
311,480,16,96
321,675,16,96
374,465,16,96
374,471,16,96
374,485,16,96
428,848,16,96
441,72,16,96
445,447,16,96
465,485,16,96
465,72,16,96
465,878,16,96
471,485,16,96
471,72,16,96
471,878,16,96
485,72,16,96
505,53,16,96
505,57,16,96
508,814,16,96
520,523,16,96
520,524,16,96
522,524,16,96
523,879,16,96
524,671,16,96
524,879,16,96
53,60,16,96
53,64,16,96
559,930,16,96
565,568,16,96
565,584,16,96
566,568,16,96
588,680,16,96
648,826,16,96
651,656,16,96
671,877,16,96
680,823,16,96
684,732,16,96
705,889,16,96
707,729,16,96
707,775,16,96
707,776,16,96
707,792,16,96
707,794,16,96
729,789,16,96
732,738,16,96
732,984,16,96
738,962,16,96
775,789,16,96
775,829,16,96
776,789,16,96
789,792,16,96
789,794,16,96
817,920,16,96
818,878,16,96
82,962,16,96
826,848,16,96
873,877,16,96
874,876,16,96
102,598,15,97
104,485,15,97
123,442,15,97
125,430,15,97
135,430,15,97
135,435,15,97
135,532,15,97
136,435,15,97
136,532,15,97
137,430,15,97
137,435,15,97
137,532,15,97
16,19,15,97
171,470,15,97
18,20,15,97
18,523,15,97
18,524,15,97
196,335,15,97
197,430,15,97
197,435,15,97
197,532,15,97
202,910,15,97
214,570,15,97
229,447,15,97
267,277,15,97
277,564,15,97
284,374,15,97
284,874,15,97
311,481,15,97
311,5,15,97
311,6,15,97
311,7,15,97
317,67,15,97
322,327,15,97
322,430,15,97
328,570,15,97
330,570,15,97
34,42,15,97
34,838,15,97
358,368,15,97
367,53,15,97
39,466,15,97
412,878,15,97
428,447,15,97
428,912,15,97
429,447,15,97
430,742,15,97
435,742,15,97
443,447,15,97
446,447,15,97
446,816,15,97
447,820,15,97
447,827,15,97
465,676,15,97
498,515,15,97
498,543,15,97
498,930,15,97
515,543,15,97
